ID,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength
1,v3.0.1,1.21.1,2.1.1,1.2.0,3.8.10,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},fde007ef106d0ead8b85790a9c0c7b56a20232cc,2D,"(1.0, 1.0)","(256, 256)",185.2763977,0,244,6b142fe53e31382561fd1bd26e455d0784d1a729,"(1.0, 1.0)","(256, 256)","(4, 0, 235, 236)",24927,2,"(107.3447266016769, 112.96301199502547)","(107.3447266016769, 112.96301199502547)",138,198,728704673,1.961054571,32,3.268889686,223,18.51351176,169.4067076,171,60,163,13.385404,170.9782117,-0.617027815,728704673,0.301069543,534.9163076,28.69368181,40.54225852,-3.372223115,3.528912452,0.172160815,0.906954072,0.171158132,0.660724518,0.142211525,0.914588048,0.914521202,0.996559054,0.97861916,-0.598533234,0.950141565,0.170280784,5.277734161,0.221547651,2.743753066,0.910899687,0.319765087,10.55546832,2.568483105,0.925268317,4.255480367,6762.827897,0.271305327,3.228982945,7504.760501,0.929586955,28.94560116,59.64067076,1739.935371,2.364872089,0.041133427,0.028068693,0.816010041,0.001258126,1158.67447,0.249769878,1.260440776,28.36261001,68.59265747,2086.694924,2.512841671,0.045566821,5.791806949,564.5992075,0.118494518,0.186153568,37.58760994,0.296142699,8.609302208,0.014287467,66.19607843,0.216327054,2.044523474,29.00980392,257566.5523,7566006.578,9185.421722,0.054634743,43.82352941,0.143214148,0.37972993,11.20845529,0.019291434,5.833110763,0.012275845,250930.6929,26.13552858,0.00088586,3.914135735,0.007422074,0.02211284
2,v3.0.1,1.21.1,2.1.1,1.2.0,3.8.10,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},b3c7ace480500106508844846ff4dafa7ca6e596,2D,"(1.0, 1.0)","(256, 256)",119.9304504,0,255,36832a6c91d5ed50bc77de8fef5bab56cc2c8825,"(1.0, 1.0)","(256, 256)","(39, 17, 176, 173)",14385,2,"(123.24400417101147, 94.32478275981926)","(123.24400417101147, 94.32478275981926)",92,150,218925826,1.964355399,30,3.228050223,185,17.95650532,121.2636774,122,24,161,12.64329365,123.3654551,-0.240594092,218925826,0.300785304,514.1560564,29.43579035,35.58047458,-1.375808477,3.3374922,0.207782485,0.882690876,0.206068887,0.736005973,0.164386433,0.897251156,0.897136916,0.996805673,0.977122497,-0.543361664,0.937135287,0.204569488,5.352878604,0.204981124,2.844824854,0.88519815,0.313103673,10.70575721,2.631367724,0.886318671,4.472008633,3163.806952,0.219937918,3.701928821,4326.796594,0.899296488,29.78067431,55.75537018,1664.321515,2.119962379,0.038967485,0.033324347,1.001494441,0.001439586,841.6582986,0.262628615,1.170635396,29.6746231,44.99029729,1382.446256,1.63665108,0.04135197,5.487465641,476.7262656,0.144956853,0.223149114,23.4174817,0.349459716,10.61696975,0.015041793,45.57740586,0.190700443,2.126433361,30.0083682,93638.96653,2759538.079,3368.423818,0.051964019,41.78661088,0.174839376,0.397906475,11.7455401,0.02229589,5.438932633,0.016614529,90016.33693,14.97718623,0.001245737,5.856290878,0.006404621,0.03856153
3,v3.0.1,1.21.1,2.1.1,1.2.0,3.8.10,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},0e232a356478af5dee1bbd7078ad301a0abca204,2D,"(1.0, 1.0)","(256, 256)",128.4398499,0,206,bb71d3a9386c5c1ef77263efbbc365ef1a3280d4,"(1.0, 1.0)","(256, 256)","(13, 30, 199, 199)",17923,2,"(119.35903587569045, 117.3826926295821)","(119.35903587569045, 117.3826926295821)",105,144,282659378,1.541377957,19,3.76767836,177,12.11829063,124.5756849,125,46,131,8.114155433,125.5816969,-0.112050371,282659378,0.396260424,251.6613337,20.6374531,10.10350437,-0.264162872,1.805581502,0.172701753,0.825371635,0.170805317,0.66231529,0.142872407,0.914909822,0.914786985,0.99655042,0.978675555,-0.504822727,0.886180295,0.169179856,4.497690558,0.288755415,2.297869656,0.831362621,0.384966335,8.995381115,2.118644951,0.494570814,3.876285008,4782.280031,0.266823636,3.327406514,7102.175584,0.497564191,20.81163868,59.13513363,1233.725883,3.116800323,0.053595012,0.029233025,0.617373984,0.001690327,1198.910972,0.349868618,0.653807209,20.68237873,62.92179424,1340.92444,3.20263515,0.056372247,5.318978746,432.2048468,0.123108411,0.191192881,33.71947533,0.307636753,6.402101831,0.018227818,54.35622318,0.233288511,1.382305808,20.77253219,206280.4163,4365516.03,10300.82484,0.069623612,39.60085837,0.169960766,0.40963163,9.359389225,0.028115798,5.429032475,0.013000056,200363.3073,25.55524468,0.00092527,3.680524776,0.00387217,0.022725765
4,v3.0.1,1.21.1,2.1.1,1.2.0,3.8.10,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},754ab59b8169cb9be49eb9212f7f689372e310af,2D,"(1.0, 1.0)","(256, 256)",194.0288544,0,255,63272441661328a904ad9244df629f8f5b6907c6,"(1.0, 1.0)","(256, 256)","(5, 11, 241, 237)",28971,2,"(128.08152980566774, 125.52307479893686)","(128.08152980566774, 125.52307479893686)",157,207,976284988,1.762749494,27,2.873050788,242,15.68221504,182.5377792,183,99,143,11.20679984,183.572052,-0.324699364,976284988,0.334841785,378.6574644,23.77386399,17.58260117,-0.975014531,2.524034982,0.207788288,0.847819061,0.197360318,0.735006312,0.168102704,0.902912613,0.902355211,0.995874938,0.975469761,-0.511101573,0.911941843,0.189555152,4.816096522,0.234447198,2.614861772,0.854665761,0.389819629,9.632193044,2.385063599,0.682955817,4.151016518,7410.416313,0.255787384,3.771687706,9700.701357,0.689542483,24.0037969,57.9029029,1414.855683,2.658640898,0.047773243,0.03301468,0.757400485,0.001835599,1731.572382,0.291166757,0.889640771,22.87314095,63.46207728,1619.269358,2.729111941,0.052926613,5.355851665,942.6413287,0.15534993,0.205326016,38.38535794,0.372609901,8.352821303,0.021013246,112.1088296,0.230202935,1.450754525,21.25051335,222806.6222,5414044.579,9774.576322,0.067949289,92.00205339,0.188915921,0.42647279,8.902231541,0.031764577,5.44174173,0.016809913,219267.716,39.94529488,0.000597524,4.195508684,0.006140352,0.013892052
5,v3.0.1,1.21.1,2.1.1,1.2.0,3.8.10,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},1be367639c4c03da2b13ce65739fda739e42ceb9,2D,"(1.0, 1.0)","(256, 256)",150.6263885,0,255,ce8207d101b42522f6d709073429e2b1df1b55fc,"(1.0, 1.0)","(256, 256)","(10, 23, 227, 199)",20763,2,"(118.48234840822617, 112.33660838992438)","(118.48234840822617, 112.33660838992438)",76,153,292767150,2.368805131,41,3.08001798,218,24.24393728,114.7739729,115,0,218,17.0302392,118.7452156,-0.02647784,292767150,0.226040006,927.3613762,27.21256847,100.9558222,0.020771733,5.756916605,0.422114629,0.863289365,0.371133036,1.04780847,0.282343065,0.822075362,0.819439463,0.994915645,0.963333026,-0.434078581,0.931798187,0.333955202,5.087123352,0.112038789,3.693062776,0.872902243,0.210069439,10.1742467,3.213167827,1.544757808,5.307700557,2829.904397,0.136295545,4.352790505,4693.268651,1.566841637,27.68882146,41.60434427,1182.806386,1.954947978,0.050048061,0.059063,1.617409965,0.003339677,1636.719171,0.217849984,1.690237439,26.89079739,14.6210669,428.0305817,0.663508164,0.053828146,4.990889967,1861.848469,0.244139825,0.362074363,6.71109504,0.488247579,12.99012006,0.027562581,142.137163,0.166632078,2.669290787,27.56389215,19016.90387,524763.4267,774.978428,0.065672671,186.3552169,0.21847036,0.474195493,13.26912381,0.02981032,5.765858554,0.041082695,18424.41234,28.20161563,0.000685076,11.03715311,0.014021906,0.022188701
6,v3.0.1,1.21.1,2.1.1,1.2.0,3.8.10,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},083f0d61b0e280d81bfa85644e613636091f297e,2D,"(1.0, 1.0)","(256, 256)",150.1064453,0,255,114b958aef5efeec42cd33a0f056d5318fb601c7,"(1.0, 1.0)","(256, 256)","(17, 20, 202, 213)",14304,3,"(118.55795581655481, 100.84920302013423)","(118.55795581655481, 100.84920302013423)",86,184,294366296,2.53280619,44,2.82468235,244,28.09970225,138.9815436,142,35,209,19.51255846,143.4548682,-0.431029842,294366296,0.2003255,1263.429749,27.15286118,169.379555,-10.31007737,7.777008368,0.476151844,0.884556665,0.408863457,1.10335607,0.306823582,0.805672052,0.802218827,0.994274612,0.959703878,-0.439895624,0.942641645,0.35992944,5.032647057,0.094611108,3.924829436,0.9037449,0.18548554,10.06529411,3.383436359,2.063290053,5.474034189,1874.540968,0.131050124,4.455180303,2865.455956,2.102451259,27.90436242,38.02936242,1066.287752,2.23582897,0.060936381,0.068818551,2.042565526,0.004629448,1094.166789,0.19103838,2.231770192,28.00226709,12.0570002,355.0232478,0.679720359,0.063306872,4.957219292,1620.242093,0.279489333,0.400709592,5.633331358,0.530801527,15.27805605,0.034546912,117.4932976,0.157497718,3.232167629,31.7386059,12269.35657,325998.2895,596.5272824,0.073364572,162.3914209,0.21768287,0.474308522,15.11270936,0.035486747,5.885622358,0.052153244,11901.70422,18.74005587,0.001068877,11.21367936,0.020049724,0.032166167
7,v3.0.1,1.21.1,2.1.1,1.2.0,3.8.10,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},babbdb9a51bfe232cdd2cb50eea64f8a9e18f8a0,2D,"(1.0, 1.0)","(256, 256)",140.4406128,3,233,057c19b364c47bc78b36d29881feb9daaa560cf4,"(1.0, 1.0)","(256, 256)","(20, 16, 217, 215)",21751,2,"(129.69219805985932, 115.27332076686129)","(129.69219805985932, 115.27332076686129)",88,164,375048905,2.332910437,39,3.504354651,209,23.96783264,127.7357823,131,7,202,16.53791395,131.311976,-0.579591003,375048905,0.235308884,926.4049718,32.74490672,118.1135933,-7.747124732,5.847837069,0.318582189,0.896652125,0.292229905,0.924583978,0.231837833,0.858104837,0.85651694,0.996140821,0.971013391,-0.504023288,0.949789918,0.270775067,5.600229344,0.139368002,3.476209515,0.899390159,0.260946379,11.20045869,3.111572328,1.541604814,5.098029632,3506.260356,0.161199961,4.308247944,5118.203531,1.557488095,33.1793021,48.31019263,1636.114891,1.821790945,0.041584536,0.044832893,1.4893674,0.002347178,1304.360854,0.202619893,1.973275165,32.16265955,24.33808324,847.3764058,0.858877327,0.048209381,5.393048909,1314.872403,0.201261161,0.295825479,12.43246346,0.43444968,13.90515128,0.023157034,91.95287958,0.16047623,3.142610004,33.72949389,44798.44154,1581630.173,1358.927735,0.066258045,100.7347295,0.17580232,0.42280085,14.73446514,0.029774158,6.106044361,0.026343616,43357.49054,20.10557186,0.000825428,8.974512461,0.011173897,0.02759623
8,v3.0.1,1.21.1,2.1.1,1.2.0,3.8.10,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},e26ef91687cb1fd01bdf63040f83cc7572459eb5,2D,"(1.0, 1.0)","(256, 256)",169.8534698,0,255,55d0d1de44b4250d5905119f6e70a5cc6af2d11a,"(1.0, 1.0)","(256, 256)","(25, 16, 220, 211)",23839,2,"(140.91618775955368, 114.4653718696254)","(140.91618775955368, 114.4653718696254)",132,185,626320773,1.858317009,27,6.600708969,209,17.29368343,160.3936826,164,21,188,11.45374895,162.0893166,-1.466135898,626320773,0.333134555,546.8131335,48.96460486,83.69589728,-9.521675849,3.666515973,0.159361597,0.916685579,0.156376588,0.630205823,0.134350768,0.922287723,0.922110207,0.99805953,0.984389087,-0.609448018,0.945797009,0.153967611,6.934537265,0.254623172,2.579564834,0.929446441,0.411847462,13.86907453,2.415905996,0.956469392,4.05280084,7218.657284,0.302808729,3.188788857,7941.594656,0.958532745,49.24409581,61.30294895,3064.812198,1.346167916,0.023034966,0.027508825,1.308479631,0.00075494,1082.650431,0.263760596,1.513155098,46.77521122,79.17333281,4064.127652,1.646477117,0.026763848,5.879210147,487.5046149,0.11597288,0.17209195,43.19506002,0.300332853,13.54272662,0.009259054,61.94773519,0.215845767,2.218407411,45.26480836,267064.8955,13631348.03,5345.877458,0.033429216,48.53310105,0.169104882,0.40423179,18.67539098,0.015221041,5.599533108,0.012039096,260165.4804,11.98078249,0.000940231,6.420527582,0.004017779,0.057158537
9,v3.0.1,1.21.1,2.1.1,1.2.0,3.8.10,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},cd2909db48fcb27bdb536ed96deb88eb5065e22c,2D,"(1.0, 1.0)","(256, 256)",158.2447052,74,225,982ebf7904d704a6cf321b255ab10cab060f5a4b,"(1.0, 1.0)","(256, 256)","(22, 28, 216, 182)",21834,2,"(131.42172758083723, 113.01635064578181)","(131.42172758083723, 113.01635064578181)",123,173,478134751,1.704766213,28.75,2.238349335,198,15.50165413,146.8220665,145,93,105,11.94642178,147.9818668,0.096646788,478134751,0.349171456,341.9137001,12.00119651,14.79408772,0.545190389,2.384520988,0.121819043,0.902770024,0.121819043,0.53200655,0.106602462,0.939090479,0.939090479,0.995314652,0.979696826,-0.639458841,0.940682077,0.121819043,3.381643345,0.280606141,2.310421105,0.910601913,0.413795716,6.76328669,2.188602063,0.626585008,3.653011554,8568.782541,0.392451339,2.862094887,7623.809563,0.632976561,12.15109462,65.19208574,784.7334891,6.774460767,0.104995738,0.024601413,0.31256906,0.002742367,886.9109673,0.294027695,0.84101332,12.6955336,139.8506081,1657.57118,14.43237596,0.109883052,5.857074182,332.1708253,0.107302591,0.138133187,83.40333836,0.29577077,3.97054752,0.033633192,58.64125561,0.262965272,1.281344889,13.48430493,351552.3408,3943116.157,35327.45256,0.132130045,33.22421525,0.148987512,0.382481301,5.180585593,0.052363464,5.408950509,0.010213429,341965.9112,53.99980361,0.001180843,1.236242326,0.007740377,0.010442342
10,v3.0.1,1.21.1,2.1.1,1.2.0,3.8.10,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},fb16aa352a4e53f25ea5ac9e234e799bf41858f1,2D,"(1.0, 1.0)","(256, 256)",152.4296265,0,239,3e3e9668a625dc542a61eb09fc452f557de576b6,"(1.0, 1.0)","(256, 256)","(15, 22, 219, 218)",23597,2,"(132.02640166122814, 121.6270288596008)","(132.02640166122814, 121.6270288596008)",117,179,511136118,1.96632568,36,2.351266208,211,19.58828743,145.2814341,142,87,124,14.57134006,147.1769806,0.339486784,511136118,0.284069521,554.3685213,11.77063175,30.25836496,1.936257029,3.547095554,0.157822877,0.914752754,0.157692635,0.626235414,0.132385669,0.92117539,0.921166707,0.995735045,0.977474806,-0.619358405,0.953912823,0.157578673,3.305039339,0.210963438,2.697211177,0.922092228,0.346672024,6.610078678,2.538839256,0.926229608,4.207482369,6934.882273,0.293888302,3.160391631,6703.188499,0.943734657,12.00639912,61.00661101,716.3761919,7.364886155,0.121583052,0.027381236,0.362022599,0.003481362,1052.225969,0.25599002,1.13353338,12.90688095,76.06694037,862.3510972,9.415895748,0.125134409,5.835014339,470.2285594,0.111454838,0.174291223,40.5530583,0.289778672,4.103685965,0.037610587,55.44912281,0.194558326,1.944475223,14.62807018,243563.3579,2729361.267,27400.86062,0.165384016,43.6877193,0.153290243,0.388780396,6.14702951,0.0570963,5.774207347,0.012077807,236708.0989,54.61684949,0.000990527,2.290264514,0.009895181,0.012580048
11,v3.0.1,1.21.1,2.1.1,1.2.0,3.8.10,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},05fb46036a3a05c8cbaa16481da9ceeeef1634d3,2D,"(1.0, 1.0)","(256, 256)",141.0839844,0,231,efed20b60d0ba7191935d6cac66bb43693542aa8,"(1.0, 1.0)","(256, 256)","(58, 0, 171, 199)",16632,2,"(139.7171717171717, 83.97949735449735)","(139.7171717171717, 83.97949735449735)",96,176,360997362,2.255104027,50,2.4607819,207,26.64330292,143.967292,153,53,154,20.81824566,147.3261284,-0.743174437,360997362,0.243883909,978.4069388,19.44935742,100.1031181,-9.842730909,6.299737222,0.207918464,0.936102681,0.205842144,0.73634948,0.164589774,0.897421107,0.89728656,0.995846506,0.974298441,-0.609773114,0.967138076,0.204061954,4.233953906,0.169027826,3.139141777,0.949765053,0.331414679,8.467907813,2.924280929,1.626913921,4.766936694,3562.540164,0.214197942,3.604409538,4056.277177,1.627481493,19.79900192,55.19155844,1093.421056,5.073584037,0.095635037,0.032748401,0.679465967,0.00342636,789.3520307,0.208948556,1.901011755,19.91290492,42.18158166,876.8338846,3.437031886,0.104050839,5.676618393,555.6787793,0.143472183,0.227197571,21.55640365,0.334534911,7.073286503,0.035802161,59.21875,0.231323242,2.640487671,22.78515625,88869.03906,1805488.629,5783.088692,0.125377538,42.359375,0.165466309,0.406508794,9.365563661,0.049564394,5.556999242,0.015392015,84648.10059,22.01434867,0.001402578,3.869019593,0.015361432,0.024191368
12,v3.0.1,1.21.1,2.1.1,1.2.0,3.8.10,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},f17aadce5bb2b5520644097c217da68c446c670f,2D,"(1.0, 1.0)","(256, 256)",91.59991455,0,255,cd88200cb08715e592548d0214e3a192b8fb6287,"(1.0, 1.0)","(256, 256)","(16, 44, 198, 152)",13327,2,"(113.12636002100999, 107.42140016507841)","(113.12636002100999, 107.42140016507841)",65,147,165584858,2.419060591,47,2.754543922,197,26.04347708,106.8180386,108,1,196,19.25291157,111.4664349,-0.234179739,165584858,0.213565935,1014.67275,24.28144004,114.3502233,-3.950558476,6.436050088,0.326760457,0.90335341,0.313201365,0.928481759,0.226625605,0.845639873,0.844755227,0.994991865,0.965350037,-0.505579356,0.954126639,0.301519372,4.770122686,0.116126069,3.600701172,0.907625785,0.187211019,9.540245371,3.24372164,1.690702636,5.250651847,1983.954153,0.148867273,3.895512686,2846.193217,1.709460531,24.65476101,45.09424477,1100.006003,2.940995192,0.06422217,0.043618565,1.168562982,0.002626052,874.9908342,0.203490172,1.848889843,25.20041965,18.00636463,445.9651736,1.155980121,0.062717799,5.245701169,883.0865707,0.201139797,0.322672019,7.858599633,0.421441587,11.088513,0.025504154,53.07294833,0.161315952,2.896185364,29.28267477,39119.85106,1000369.751,1845.633844,0.06635251,40.36170213,0.122679946,0.343446303,10.91041951,0.017418492,6.304299535,0.024686726,37478.9855,19.2394755,0.001341383,7.001902661,0.016594245,0.031111996
13,v3.0.1,1.21.1,2.1.1,1.2.0,3.8.10,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},981bc89c0bc880c97f14a6f89f158703627f2fc8,2D,"(1.0, 1.0)","(256, 256)",136.2913971,0,255,75898f11c48b8f359468e1f3c2a629a0fd9840fa,"(1.0, 1.0)","(256, 256)","(24, 20, 211, 194)",19485,2,"(125.08462920195022, 109.60035925070567)","(125.08462920195022, 109.60035925070567)",101,173,400958783,2.175568287,42,2.47053369,206,22.88213687,140.8122658,145,50,156,17.30008857,143.4497053,-0.409683499,400958783,0.253345228,749.72375,18.37002792,61.5927428,-4.257747445,4.991446187,0.188167477,0.927339679,0.186672879,0.696324929,0.152594994,0.906909376,0.90681302,0.996240182,0.976686539,-0.612489316,0.963956519,0.185396121,4.143573085,0.17947348,3.014514933,0.932092804,0.313876661,8.28714617,2.820915257,1.294903416,4.574587485,4831.348371,0.247952187,3.444533789,4936.431768,1.297622889,18.55432384,58.01329228,1095.853888,4.590140876,0.083783664,0.030750234,0.571297563,0.002940746,882.7098776,0.224739585,1.482833752,17.74006999,54.39819296,1072.848499,3.909764257,0.096388831,5.79882562,525.447665,0.130454053,0.201616628,28.24250297,0.320961745,5.698227108,0.033707815,56.62369338,0.197295099,2.055991939,18.87456446,141942.3728,2933774.847,8430.765537,0.118812309,48.3728223,0.168546419,0.409182685,8.337829283,0.044041409,5.693028251,0.014729279,137333.0511,25.88260235,0.001222416,3.575867023,0.011158521,0.021172596
